name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,preferred_foot
J. Hamilton,3/17/1996,22,182.88,83.0,ST,Canada,65,72,775000.0,Left
C. Erskine,2/8/1987,32,185.42,76.2,"CAM,RM",Scotland,65,65,475000.0,Left
K. Sharahili,2/3/1987,32,187.96,88.0,GK,Saudi Arabia,65,65,325000.0,Left
L. Mosquera,8/17/1986,32,175.26,71.2,"CAM,RM",Colombia,65,65,475000.0,Right
J. Steer,9/23/1992,26,182.88,79.8,GK,England,65,70,525000.0,Left
Nanu,5/17/1994,24,152.4,67.1,RB,Portugal,65,70,600000.0,Right
Paulito Zanon,2/29/1992,27,185.42,79.8,CDM,Brazil,65,65,475000.0,Right
A. Jackson-Hamel,8/3/1993,25,185.42,84.8,ST,Canada,65,69,725000.0,Right
E. Pimentel,5/15/1990,28,152.4,78.0,CB,Mexico,65,65,450000.0,Right
A. Cicâldău,7/8/1997,21,152.4,76.2,CM,Romania,65,77,,Right
M. Pepić,12/19/1995,23,152.4,77.1,CM,Montenegro,65,72,750000.0,Right
Alex Vallejo,1/26/1992,27,187.96,73.9,"CDM,CM,CB",Spain,65,68,550000.0,Right
B. Passi,8/5/1997,21,187.96,78.0,"CB,CDM",France,65,76,825000.0,Right
G. Cvijanović,9/9/1986,32,152.4,74.8,"CAM,CM",Slovenia,65,65,475000.0,Right
N. Kijewski,3/28/1996,22,175.26,73.9,"LB,CB,CDM,RB",Germany,65,72,650000.0,Left
J. Cullen,4/7/1996,22,175.26,69.9,CM,Republic of Ireland,65,75,850000.0,Right
Park Gi Dong,11/1/1988,30,190.5,83.0,ST,Korea Republic,65,65,550000.0,Right
R. Laursen,4/14/1992,26,182.88,78.9,RWB,Denmark,65,68,550000.0,Right
L. Daniels,1/5/1988,31,195.58,89.8,GK,England,65,65,350000.0,Right
O. Stijepović,10/22/1999,19,185.42,73.9,LW,Montenegro,65,79,1100000.0,Left
R. Guerra,3/21/1997,21,182.88,74.8,CDM,Uruguay,65,75,775000.0,Right
A. Ba,7/29/1998,20,182.88,73.9,"CM,RM,CDM,LM",France,65,78,1000000.0,Right
Lucas França,1/19/1996,23,193.04,86.2,GK,Brazil,65,75,675000.0,Right
Carlos Blanco,1/6/1996,23,187.96,69.9,CB,Spain,65,72,650000.0,Right
E. Schreiner,2/2/1989,30,154.94,73.9,"LB,LM,LWB",Austria,65,65,400000.0,Left
J. Kerr,2/6/1997,22,154.94,74.8,CB,Scotland,65,78,925000.0,Right
Woo Ju Sung,3/16/1993,25,182.88,74.8,"RB,CB",Korea Republic,65,68,550000.0,Right
S. O'Keefe,3/4/1991,28,172.72,64.0,"CM,CDM",England,65,65,550000.0,Right
T. Ishihara,12/17/1992,26,172.72,67.1,"LM,CAM",Japan,65,66,650000.0,Right
H. Petryk,10/21/1994,24,182.88,79.8,"RB,RWB",Uruguay,65,72,650000.0,Right
E. Demirović,3/25/1998,20,182.88,76.2,ST,Bosnia Herzegovina,65,79,1200000.0,Right
J. Ortiz,2/10/1991,28,170.18,73.0,"LM,LB",Chile,65,65,575000.0,Left
J. Leutwiler,4/25/1989,29,193.04,79.8,GK,Canada,65,65,375000.0,Right
B. Rivero,2/22/1996,23,170.18,73.9,"CDM,CM",Argentina,65,74,725000.0,Right
J. Günther-Schmidt,9/13/1994,24,182.88,81.2,"ST,LW,RW",Germany,65,72,775000.0,Right
M. Almebäck,4/4/1988,30,182.88,83.0,CB,Sweden,65,65,400000.0,Right
H. Delbridge,3/15/1992,26,193.04,93.0,"CB,RB",Australia,65,66,525000.0,Left
J. Tell,6/10/1997,21,185.42,73.9,"ST,LM",France,65,74,850000.0,Right
F. Ávila,1/30/1994,25,152.4,69.9,"CM,RW,LM",Colombia,65,69,700000.0,Right
S. Avellaneda,2/26/1990,29,182.88,83.9,GK,Colombia,65,67,450000.0,Right
J. Ekkelenkamp,4/5/2000,18,182.88,74.8,"CM,CDM",Netherlands,65,78,950000.0,Right
H. Salinas,4/23/1990,28,170.18,73.9,"LM,LB,LW",Chile,65,65,550000.0,Left
G. Abderrazzak,10/16/1986,32,175.26,72.1,LB,Tunisia,65,65,350000.0,Left
L. Goujon,1/9/1996,23,154.94,68.0,"CM,RB,CDM,LB",France,65,74,825000.0,Right
B. Allain,11/28/1991,27,185.42,77.1,GK,France,65,68,475000.0,Right
Z. Vyner,5/14/1997,21,187.96,68.0,"RB,CB",England,65,72,650000.0,Right
T. Knoflach,12/30/1993,25,182.88,82.1,GK,Austria,65,71,550000.0,Right
M. Costly,11/20/1995,23,182.88,74.8,"RW,RM,LM",Germany,65,72,750000.0,Right
A. Salétros,4/12/1996,22,182.88,73.0,"CM,LWB",Sweden,65,73,775000.0,Left
Fabio González,2/12/1997,22,175.26,64.9,"CDM,CM",Spain,65,73,700000.0,Right
A. Otero,2/10/1984,35,185.42,74.8,GK,Colombia,65,65,220000.0,Right
S. Méndez,4/26/1997,21,152.4,69.9,CDM,Ecuador,65,74,725000.0,Right
I. Durmuş,5/1/1994,24,154.94,73.0,LM,Turkey,65,69,700000.0,Left
A. Gersbach,5/8/1997,21,182.88,73.0,LB,Australia,65,75,750000.0,Left
J. Faucher,11/6/1991,27,175.26,68.0,ST,France,65,66,650000.0,Right
H. Akpan,8/14/1991,27,182.88,81.2,"CDM,CM",Nigeria,65,66,525000.0,Right
G. Marinelli,2/7/1989,30,154.94,78.9,GK,Argentina,65,66,425000.0,Right
Marcão,8/17/1995,23,187.96,82.1,CB,Brazil,65,69,600000.0,Right
K. Andersen,12/9/1985,33,182.88,73.0,"CAM,CM",Belgium,65,65,425000.0,Right
J. Campbell,6/27/1993,25,187.96,84.8,CB,United States,65,69,600000.0,Right
J. López,3/1/1992,27,172.72,63.0,"CAM,LM,LW",Algeria,65,66,625000.0,Right
J. Riley,10/13/1991,27,182.88,71.2,RB,England,65,66,525000.0,Right
P. Delecroix,10/14/1988,30,185.42,76.2,GK,France,65,66,425000.0,Right
P. Alvarenga,6/22/1988,30,190.5,78.0,ST,Paraguay,65,65,525000.0,Right
S. Akasaki,9/1/1991,27,175.26,69.9,ST,Japan,65,65,600000.0,Right
A. Kruiswijk,11/2/1984,34,182.88,73.0,"LB,CB",Netherlands,65,65,210000.0,Left
L. Pellegrini,3/7/1999,20,152.4,72.1,LB,Italy,65,79,1000000.0,Left
D. Ovono,1/23/1983,36,185.42,86.2,GK,Gabon,65,65,130000.0,Right
N. Schiappacasse,1/12/1999,20,154.94,73.0,"LM,ST,RM",Uruguay,65,82,1200000.0,Right
L. Görtler,6/15/1994,24,185.42,82.1,ST,Germany,65,71,750000.0,Right
N. Busch Thor,2/21/1986,33,154.94,82.1,"CDM,CM",Sweden,65,65,300000.0,Left
M. Doughty,11/20/1992,26,185.42,81.2,CM,Wales,65,65,575000.0,Left
P. Azango,5/21/1997,21,165.1,74.8,LW,Nigeria,65,74,850000.0,Left
M. Preston,3/16/1995,23,182.88,78.0,CB,England,65,68,575000.0,Right
G. Faivre,2/20/1987,32,187.96,83.0,GK,Switzerland,65,65,325000.0,Right
H. Adelakun,6/11/1996,22,190.5,74.8,"RM,LM",England,65,76,925000.0,Right
Bae Il Hwan,7/20/1988,30,154.94,74.8,"RW,CAM,ST",Korea Republic,65,65,525000.0,Right
H. De la Fuente,1/7/1997,22,152.4,73.0,"RB,RWB",Argentina,65,73,675000.0,Right
M. Mak,11/14/1991,27,172.72,59.9,"LM,RM",Poland,65,65,575000.0,Right
A. Dyer,6/11/1990,28,152.4,73.9,"CM,RB",Montserrat,65,65,525000.0,Right
A. Parmak,12/28/1994,24,175.26,69.9,"LM,CM",Turkey,65,71,750000.0,Right
F. Viteritti,5/22/1993,25,175.26,71.2,"LM,CAM",Germany,65,67,650000.0,Right
S. Inagaki,12/25/1991,27,175.26,72.1,CM,Japan,65,66,625000.0,Right
M. Coppolaro,3/10/1997,21,187.96,79.8,"RB,CB",Italy,65,79,1100000.0,Right
S. Ağçay,9/22/1981,37,175.26,72.1,CDM,Turkey,65,65,70000.0,Right
J. Mosquera,2/17/1991,28,172.72,66.2,"CDM,CM",Colombia,65,66,500000.0,Right
P. Tuszyński,12/13/1989,29,182.88,77.1,ST,Poland,65,65,550000.0,Right
M. Hilßner,1/30/1995,24,182.88,79.8,"RM,LM,RW,CAM",Germany,65,70,725000.0,Left
M. Schulze Niehues,11/11/1988,30,193.04,89.8,GK,Germany,65,65,375000.0,Right
Airam,10/21/1987,31,154.94,78.0,ST,Spain,65,65,525000.0,Right
A. Al Zori,8/13/1987,31,154.94,68.9,"LB,LWB,CB",Saudi Arabia,65,65,400000.0,Left
Y. Valery,2/22/1999,20,154.94,69.9,"RB,RWB",France,65,78,900000.0,Right
J. Husband,1/3/1994,25,152.4,64.9,LB,England,65,70,600000.0,Left
J. Clarke,11/19/1991,27,182.88,71.2,RB,England,65,65,450000.0,Right
J. Blåbjerg,1/11/1995,24,154.94,74.8,"CB,LB",Denmark,65,71,625000.0,Left
M. Merentiel,2/24/1996,23,175.26,69.9,"ST,CAM",Uruguay,65,73,800000.0,Right
R. De Vita,9/23/1987,31,154.94,77.1,"LM,RM",Italy,65,65,500000.0,Right
Alberto Varo,3/18/1993,25,190.5,83.0,GK,Spain,65,71,525000.0,Right
L. Varney,9/28/1982,36,154.94,69.9,ST,England,65,65,250000.0,Right
M. Vera,10/26/1995,23,170.18,68.9,CDM,Argentina,65,74,725000.0,Left
A. Coly,12/10/1992,26,185.42,76.2,"RB,CB",Senegal,65,67,550000.0,Right
O. Schnitzler,10/13/1995,23,190.5,87.1,GK,Germany,65,72,550000.0,Right
T. Wendel,1/12/1989,30,190.5,78.9,"CDM,CB",Germany,65,65,425000.0,Right
E. Harrison,1/29/1994,25,154.94,78.9,ST,Wales,65,66,650000.0,Right
R. Kouamé,12/17/1996,22,152.4,68.0,"CM,CDM",Mali,65,76,925000.0,Left
S. Ingelsson,6/14/1998,20,187.96,83.0,"CM,RM",Sweden,65,77,950000.0,Left
G. Panico,5/10/1997,21,170.18,68.9,"ST,CF",Italy,65,77,975000.0,Right
M. Mosquera,7/16/1992,26,154.94,72.1,"CB,LB",Colombia,65,68,575000.0,Left
C. Valeri,8/14/1984,34,182.88,74.8,"CDM,CM",Australia,65,65,220000.0,Right
C. Wernitznig,2/24/1990,29,152.4,81.2,"RM,LM",Austria,65,65,550000.0,Right
J. Jigauri,7/8/1992,26,175.26,68.9,"CAM,RM,LM",Georgia,65,68,675000.0,Right
L. Foster,9/4/2000,18,154.94,69.9,"ST,CAM",South Africa,65,83,1100000.0,Right
F. Boya,7/1/1996,22,193.04,83.0,"CB,CDM",Cameroon,65,73,675000.0,Right
G. Zampano,9/30/1993,25,152.4,69.9,"RM,RB",Italy,65,66,650000.0,Right
V. Vries,3/29/1991,27,182.88,73.9,GK,Namibia,65,68,450000.0,Right
K. Al Ghamdi,3/28/1988,30,167.64,62.1,RB,Saudi Arabia,65,65,400000.0,Right
A. Saroka,3/5/1992,27,187.96,78.0,ST,Belarus,65,67,675000.0,Right
N. Lang,6/17/1999,19,152.4,68.9,"LW,RW",Netherlands,65,77,950000.0,Right
R. Marchizza,3/26/1998,20,187.96,79.8,"CB,LB",Italy,65,79,1100000.0,Left
S. Lawless,4/12/1991,27,170.18,64.9,"RWB,RM,LM",Scotland,65,65,450000.0,Left
J. Deumeland,2/9/1988,31,190.5,83.9,GK,Germany,65,65,350000.0,Right
T. Tanaka,6/9/1992,26,172.72,68.9,"RM,RWB",Japan,65,66,625000.0,Right
M. McKenzie,2/25/1999,20,154.94,83.9,CB,United States,65,76,800000.0,Right
Theo Ryuki,7/31/1995,23,152.4,68.9,"CAM,LW",Japan,65,70,725000.0,Right
T. De Smet,6/5/1998,20,182.88,68.9,"LB,CB,LM",Belgium,65,75,750000.0,Left
Jeong Hyun Cheol,4/26/1993,25,187.96,73.9,CM,Korea Republic,65,69,675000.0,Right
S. Jhingan,7/21/1993,25,187.96,73.9,CB,India,65,71,,Right
V. Ranković,6/27/1993,25,172.72,73.0,"RB,RM,LB",Germany,65,69,575000.0,Right
R. Yalçın,1/25/1994,25,182.88,77.1,"CDM,CM,CB",Germany,65,72,650000.0,Right
M. Sansores,4/28/1991,27,175.26,73.0,ST,Mexico,65,66,625000.0,Right
C. Almeida,12/25/1989,29,170.18,64.9,"LB,LWB,LM",Uruguay,65,65,425000.0,Left
O. Richards,9/11/1998,20,170.18,68.9,LB,England,65,80,1000000.0,Left
Henrique Jardinel,2/29/1988,31,175.26,71.2,"CDM,CM",Brazil,65,65,400000.0,Right
T. Lehne Olsen,6/29/1991,27,187.96,78.0,ST,Norway,65,66,625000.0,Right
I. Vassell,9/9/1993,25,175.26,71.2,ST,England,65,68,700000.0,Right
Marquinhos Cipriano,2/9/1999,20,170.18,64.9,RM,Brazil,65,81,1200000.0,Left
H. Al Ghaddioui,9/22/1990,28,190.5,92.1,ST,Morocco,65,65,575000.0,Right
J. Williams,11/6/1995,23,182.88,77.1,"CB,CDM,CM",Wales,65,74,725000.0,Right
P. Jaeckel,7/22/1998,20,187.96,79.8,"CB,CDM",Germany,65,77,825000.0,Right
N. Schmidt,3/1/1998,21,182.88,89.8,"CAM,RM,CM,LM",Germany,65,76,925000.0,Right
S. Yohou,8/6/1991,27,190.5,86.2,CB,Ivory Coast,65,67,550000.0,Right
S. Cox,4/28/1987,31,154.94,69.9,"ST,CF",Republic of Ireland,65,65,475000.0,Right
B. Ilić,2/6/1983,36,187.96,79.8,"CB,RB",Slovenia,65,65,130000.0,Right
M. Malaeka,5/21/1986,32,185.42,73.0,GK,Saudi Arabia,65,65,300000.0,Right
L. Reed,7/25/1997,21,172.72,59.9,"CM,CDM",England,65,74,825000.0,Right
D. Schmidt,2/3/1992,27,195.58,89.8,GK,Japan,65,66,425000.0,Right
David Haro,7/17/1990,28,167.64,60.8,CF,Spain,65,65,575000.0,Right
O. Rojas,8/2/1981,37,172.72,67.1,"RB,RWB,LB",Mexico,65,65,60000.0,Right
M. Schulz,1/15/1995,24,185.42,77.1,"CB,CDM,CM",Germany,65,74,725000.0,Right
Wu Yake,2/3/1991,28,185.42,81.2,GK,China PR,65,67,450000.0,Right
C. Amaya,10/12/1990,28,152.4,74.8,"ST,RM",Colombia,65,65,575000.0,Right
M. Abusabaan,1/20/1990,29,154.94,76.2,"CM,CDM,CAM",Saudi Arabia,65,65,525000.0,Right
T. Kupisz,1/2/1990,29,154.94,76.2,"RM,LM,CAM",Poland,65,65,550000.0,Right
H. Gong,10/10/1998,20,170.18,72.1,RW,Nigeria,65,77,950000.0,Right
S. Condé,6/9/1993,25,193.04,93.0,CB,Guinea,65,70,600000.0,Right
Guilherme,10/10/1995,23,154.94,78.0,"ST,CF",Brazil,65,71,750000.0,Right
D. Batty,12/10/1997,21,152.4,73.0,"CDM,CM",England,65,78,925000.0,Right
A. Lonergan,10/19/1983,35,193.04,87.1,GK,England,65,65,220000.0,Left
Salva,1/21/1998,21,182.88,74.8,RB,Spain,65,74,725000.0,Right
A. Abeid,12/11/1997,21,175.26,73.0,LB,Mauritania,65,73,675000.0,Left
R. Bennett,9/1/1991,27,190.5,76.2,CB,England,65,67,550000.0,Right
B. Knighton,2/6/1985,34,187.96,82.1,GK,United States,65,65,270000.0,Right
Lee You Hyeon,2/8/1997,22,152.4,72.1,RM,Korea Republic,65,75,875000.0,Right
Danilo,4/7/1999,19,175.26,68.9,ST,Brazil,65,79,1200000.0,Right
Íñigo López,7/23/1982,36,185.42,72.1,CB,Spain,65,65,130000.0,Right
E. Ekpolo,5/14/1995,23,154.94,73.0,RB,Nigeria,65,69,575000.0,Right
K. Dempsey,9/17/1995,23,152.4,74.8,CM,England,65,74,825000.0,Right
M. Pérez Acuña,2/9/1994,25,175.26,73.9,RB,Argentina,65,69,575000.0,Right
M. Bakker,6/20/2000,18,182.88,72.1,LB,Netherlands,65,79,1000000.0,Left
S. Román,5/21/1995,23,190.5,76.2,GK,Colombia,65,74,625000.0,Right
J. Lumley,2/15/1995,24,190.5,73.0,GK,England,65,72,550000.0,Right
L. Pavez,9/17/1995,23,172.72,74.8,"LB,LM",Chile,65,70,600000.0,Left
M. Stiefler,7/25/1988,30,152.4,76.2,"CM,RM",Germany,65,65,525000.0,Right
A. Al Qarni,4/2/1984,34,182.88,81.2,GK,Saudi Arabia,65,65,220000.0,Left
Deng Xiaofei,5/31/1983,35,185.42,79.8,GK,China PR,65,65,130000.0,Right
M. Solomon,7/24/1999,19,170.18,62.1,"RM,LM",Israel,65,84,1100000.0,Right
N. Granatowski,6/3/1991,27,172.72,68.9,"LM,RM",Germany,65,65,575000.0,Right
M. Savastano,4/16/1997,21,175.26,68.9,LB,Netherlands,65,72,650000.0,Left
C. Lavery,10/22/1992,26,154.94,76.2,ST,Northern Ireland,65,67,675000.0,Right
Lee Woong Hee,7/18/1988,30,182.88,78.0,CB,Korea Republic,65,65,425000.0,Right
S. Tetteh,7/28/1996,22,154.94,73.9,ST,Ghana,65,76,950000.0,Right
Yang Dong Hyen,3/28/1986,32,185.42,79.8,"ST,RW",Korea Republic,65,65,425000.0,Right
A. Considine,4/1/1987,31,182.88,74.8,"LB,CB",Scotland,65,65,350000.0,Left
I. Rondanini,4/10/1995,23,154.94,76.2,"RB,CB",Italy,65,70,600000.0,Right
C. Früchtl,1/28/2000,19,193.04,71.2,GK,Germany,65,85,900000.0,Left
J. Devecchi,7/9/1995,23,187.96,83.0,GK,Argentina,65,75,675000.0,Right
E. Björkander,6/11/1996,22,182.88,73.0,CB,Sweden,65,72,650000.0,Right
C. Hussey,1/2/1989,30,152.4,64.9,"LWB,LB",England,65,65,400000.0,Left
I. Sankhon,1/1/1996,23,152.4,72.1,"RB,CDM,CB,CM",Guinea,65,71,625000.0,Right
Pastrana,9/27/1996,22,154.94,69.9,"LM,LW,RW",Spain,65,75,875000.0,Left
G. Villarruel,2/23/1993,26,172.72,67.1,"RM,ST,LM",Argentina,65,66,650000.0,Right
J. Houwen,2/18/1996,23,187.96,73.0,GK,Netherlands,65,70,525000.0,Right
R. Klingenburg,12/29/1993,25,187.96,79.8,"CM,RM,CAM",Germany,65,69,700000.0,Right
D. McGregor,8/7/1985,33,182.88,87.1,CB,Scotland,65,65,300000.0,Right
J. Akinde,7/8/1989,29,187.96,87.1,ST,England,65,65,550000.0,Right
O. Lebedenko,9/23/1998,20,172.72,63.0,LB,Ukraine,65,79,1000000.0,Left
Kwak Tae Hwi,7/8/1981,37,187.96,84.8,CB,Korea Republic,65,65,70000.0,Right
Lee Ho Seung,12/21/1989,29,187.96,73.9,GK,Korea Republic,66,66,450000.0,Right
K. Dermaku,1/15/1992,27,195.58,88.9,CB,Albania,66,68,650000.0,Left
J. Intriago,6/4/1996,22,175.26,68.9,CM,Ecuador,66,75,,Right
T. Konaté,4/19/1990,28,175.26,74.8,"RW,RM",Ivory Coast,66,66,650000.0,Right
J. Smeets,3/25/1995,23,182.88,71.2,CM,Netherlands,66,72,875000.0,Right
M. Rosheuvel,8/10/1990,28,175.26,79.8,RM,Netherlands,66,66,675000.0,Right
K. Naismith,2/18/1992,27,185.42,78.0,"LM,LB",Scotland,66,66,700000.0,Left
C. Knett,8/1/1990,28,182.88,81.2,GK,Austria,66,67,500000.0,Right
C. Gebauer,12/20/1993,25,187.96,74.8,"RM,ST",Austria,66,69,825000.0,Right
N. Ramírez,5/1/1997,21,182.88,77.1,CB,Chile,66,80,1300000.0,Right
A. Gómez,3/4/1993,26,175.26,69.9,"LM,LB",Peru,66,68,775000.0,Left
M. Mohsen,2/26/1989,30,185.42,81.2,ST,Egypt,66,66,,Right
F. Rherras,4/7/1993,25,182.88,77.1,"LB,RB",Morocco,66,70,675000.0,Right
R. Vargas,10/19/1994,24,170.18,64.9,ST,Bolivia,66,69,,Right
D. Edwards,2/3/1986,33,182.88,78.0,"CM,CDM",Wales,66,66,475000.0,Right
A. Deja,6/24/1993,25,185.42,82.1,"CDM,CM",Poland,66,70,700000.0,Right
Víctor,1/1/1997,22,154.94,77.1,"RM,ST",Spain,66,78,1200000.0,Right
N. Rusyn,10/25/1998,20,152.4,68.0,ST,Ukraine,66,78,1100000.0,Right
A. Badji,10/10/1997,21,187.96,74.8,ST,Senegal,66,77,1100000.0,Right
D. Vega,9/19/1992,26,152.4,72.1,"RW,RM",Costa Rica,66,67,775000.0,Left
T. Tekie,6/4/1997,21,175.26,59.0,CM,Sweden,66,72,875000.0,Right
R. Cisneros,1/8/1997,22,154.94,69.9,ST,Mexico,66,74,975000.0,Right
L. Woudenberg,4/25/1994,24,185.42,69.9,LB,Netherlands,66,70,700000.0,Left
M. Çelik,5/26/1990,28,152.4,74.8,"LW,RW",Sweden,66,66,650000.0,Right
Álex Cobo,7/6/1995,23,182.88,78.0,GK,Spain,66,76,800000.0,Right
D. Todorovic,5/5/1997,21,175.26,68.0,"RB,RM,LB",Bosnia Herzegovina,66,77,975000.0,Right
V. Agardius,10/23/1989,29,154.94,78.0,CB,Sweden,66,67,575000.0,Left
M. Fornasier,8/22/1993,25,185.42,79.8,CB,Italy,66,70,700000.0,Right
Nathan,5/13/1995,23,187.96,78.0,CB,Brazil,66,73,775000.0,Right
B. Delacourt,9/10/1985,33,152.4,77.1,"CB,RB",France,66,66,375000.0,Right
F. Olijve,3/7/1989,30,175.26,73.0,"CM,CDM",Netherlands,66,66,625000.0,Right
J. Skjelvik,7/5/1991,27,182.88,77.1,CB,Norway,66,68,650000.0,Left
Z. Janjić,5/7/1986,32,187.96,83.0,CAM,Bosnia Herzegovina,66,66,500000.0,Right
I. Saavedra,1/12/1999,20,172.72,68.0,CM,Chile,66,74,900000.0,Right
A. Balijon,6/17/1983,35,182.88,79.8,GK,France,66,66,150000.0,Right
R. Vargas,8/5/1998,20,175.26,68.0,"RM,LM,ST",Switzerland,66,84,1400000.0,Left
E. Barli,7/24/1991,27,187.96,81.2,GK,Norway,66,70,575000.0,Right
A. Damen,5/17/1990,28,185.42,83.0,GK,Netherlands,66,67,525000.0,Right
F. Montero,10/22/1988,30,167.64,71.2,"CM,CDM",Argentina,66,66,625000.0,Right
M. Papadopulos,4/10/1985,33,182.88,78.9,ST,Czech Republic,66,66,400000.0,Right
U. Taffertshofer,2/14/1992,27,182.88,82.1,"CDM,CM,CB",Germany,66,67,625000.0,Right
M. Saeid,12/24/1990,28,170.18,64.0,"CM,CDM,CAM",Sweden,66,66,650000.0,Left
D. Jaković,7/16/1985,33,187.96,79.8,CB,Canada,66,66,375000.0,Right
P. Wiesinger,5/23/1994,24,154.94,73.9,CB,Austria,66,70,700000.0,Left
A. Öztürk,11/17/1992,26,190.5,79.8,CB,Turkey,66,70,700000.0,Right
D. Burnić,5/22/1998,20,154.94,69.9,"CDM,CB",Germany,66,78,1000000.0,Left
I. Yagan,10/11/1989,29,175.26,73.9,"LM,ST",Armenia,66,66,650000.0,Left
V. Gvilia,5/24/1994,24,182.88,78.9,"CAM,CM",Georgia,66,71,850000.0,Right
K. Bartolec,4/20/1995,23,175.26,78.0,"RB,RWB,RM",Croatia,66,74,800000.0,Right
A. Munksgaard,12/13/1997,21,154.94,74.8,RB,Denmark,66,74,825000.0,Right
R. Vollath,3/20/1990,28,185.42,74.8,GK,Germany,66,67,525000.0,Right
P. Downing,10/26/1991,27,187.96,78.9,CB,England,66,68,650000.0,Right
E. Castillo,2/5/1995,24,152.4,68.9,"ST,LW,RW",Ecuador,66,71,875000.0,Right
L. Ćirković,8/22/1992,26,193.04,79.8,CB,Serbia,66,69,675000.0,Right
Kim Chang Soo,9/12/1985,33,152.4,68.9,"RB,RWB",Korea Republic,66,66,350000.0,Right
J. Aguirre,5/21/1992,26,154.94,69.9,GK,Colombia,66,71,600000.0,Right
J. Leko,4/24/1999,19,182.88,64.0,"RW,ST,LW",England,66,78,1100000.0,Right
Manu,6/22/1984,34,175.26,69.9,LB,Switzerland,66,66,180000.0,Left
H. Hauger,7/17/1985,33,152.4,71.2,"CDM,CM",Norway,66,66,375000.0,Right
L. Maciel,12/29/1995,23,154.94,72.1,"CM,CDM",Argentina,66,74,925000.0,Right
C. Arcus,6/28/1996,22,154.94,76.2,RB,Haiti,66,74,800000.0,Right
C. MacGillivray,1/12/1993,26,187.96,78.0,GK,Scotland,66,71,625000.0,Right
T. Gabuza,7/27/1987,31,182.88,86.2,ST,South Africa,66,66,625000.0,Right
S. Sandberg,3/25/1994,24,185.42,77.1,"RB,CB",Sweden,66,71,725000.0,Right
K. Luijckx,2/11/1986,33,190.5,86.2,CB,Netherlands,66,66,375000.0,Right
H. Koffi,10/16/1996,22,185.42,81.2,GK,Burkina Faso,66,77,875000.0,Right
Cho Young Wook,2/5/1999,20,152.4,71.2,"ST,LW,CM",Korea Republic,66,74,925000.0,Right
S. Henderson,5/2/1988,30,187.96,87.1,GK,Republic of Ireland,66,66,425000.0,Right
D. Powers,2/14/1991,28,154.94,79.8,CM,United States,66,66,650000.0,Right
M. Bürki,7/10/1993,25,154.94,78.9,"LB,CB",Switzerland,66,70,700000.0,Left
M. Ruiz,10/26/2000,18,152.4,64.9,"CAM,CM",Mexico,66,79,1100000.0,Right
Y. Sari,11/20/1998,20,167.64,54.9,RM,Turkey,66,75,975000.0,Left
K. Oi,5/14/1984,34,154.94,74.8,CB,Japan,66,66,200000.0,Right
M. Janković,7/9/1995,23,172.72,64.9,"CAM,RW",Montenegro,66,74,950000.0,Right
I. Chatzitheodoridis,11/5/1997,21,152.4,67.1,"LB,LWB",Greece,66,74,825000.0,Left
T. Mohamad,4/3/1990,28,154.94,83.0,CDM,Syria,66,67,575000.0,Right
Q. Laçi,1/19/1996,23,154.94,79.8,"CAM,CM",Albania,66,75,1000000.0,Right
T. Hübers,7/20/1996,22,190.5,82.1,CB,Germany,66,75,875000.0,Right
L. Delgado,10/26/1980,38,187.96,69.9,GK,Colombia,66,66,40000.0,Right
J. Willis,8/10/1988,30,195.58,83.9,GK,United States,66,67,500000.0,Left
J. Absalonsen,9/16/1985,33,152.4,76.2,"LM,LW",Denmark,66,66,500000.0,Left
A. Uryga,2/19/1994,25,190.5,84.8,CB,Poland,66,69,675000.0,Right
S. Gündüz,5/16/1994,24,170.18,73.9,"RM,LM,RW",Germany,66,68,800000.0,Right
Javi Álamo,8/18/1988,30,190.5,83.9,"RM,RWB",Spain,66,66,625000.0,Right
A. Wittwer,10/5/1990,28,172.72,78.0,LB,Switzerland,66,66,525000.0,Left
A. Winter,7/8/1986,32,152.4,74.8,"RM,RB",Switzerland,66,66,575000.0,Right
A. Lukse,11/8/1987,31,187.96,82.1,GK,Austria,66,66,425000.0,Right
N. Boogaard,8/14/1986,32,187.96,88.0,CB,Australia,66,66,425000.0,Right
H. Weydandt,7/16/1995,23,195.58,93.9,ST,Germany,66,73,925000.0,Right
M. de Jong,10/15/1986,32,175.26,73.0,"LB,CDM",Canada,66,66,,Left
P. Pervan,11/13/1987,31,193.04,92.1,GK,Austria,66,66,425000.0,Right
B. Rymaniak,11/13/1989,29,187.96,79.8,RB,Poland,66,66,500000.0,Right
R. Klaasen,9/6/1993,25,152.4,73.9,"CM,CDM",Netherlands,66,70,825000.0,Left
C. Schösswendter,7/16/1988,30,193.04,78.0,CB,Austria,66,66,500000.0,Right
M. Cholewiak,2/5/1990,29,182.88,73.0,"LB,RB,RM",Poland,66,66,500000.0,Left
J. Fitzwater,9/23/1997,21,187.96,69.9,CB,England,66,75,875000.0,Right
Luís Rocha,6/27/1993,25,152.4,73.0,LB,Portugal,66,71,700000.0,Left
E. Butin,6/13/1988,30,154.94,76.2,ST,France,66,66,625000.0,Right
F. Apaolaza,6/19/1997,21,187.96,78.9,ST,Argentina,66,76,1100000.0,Right
C. Ejuke,1/2/1998,21,175.26,72.1,"RM,LW",Nigeria,66,80,1400000.0,Right
